Intent,Workflow,Purpose,Customer Intent,Training Utterances,Common Phrases,Jobs Covered,Clarifying Questions,Routing Logic,Automation Actions
1,Emergency Plumbing,Immediate danger / water or gas emergency,Something’s gone wrong and I need help now.,“Water’s flooding the house”; “We’ve got a burst pipe”; “Toilet’s overflowing everywhere”; “There’s sewage coming up”; “Smells like sewer gas”; “Major water leak right now”; “Pipe just burst”; “Water won’t stop running”; “We’ve got no water at all”; “Gas smell in the house”; “Everything’s flooded”; “Water pouring out of the wall”; “The place is filling with water”; “Emergency plumber needed”; “This can’t wait”,“There’s water everywhere”; “Burst pipe”; “Toilet’s overflowing”; “Sewage smell”; “Gas smell”; “No water at all”; “Major leak”,Burst pipe; Sewer blockage; Overflowing toilet; Flooding / water damage; Gas leak; No water supply; Severe internal/external leaks,“Is water currently flowing or flooding?”; “Have you been able to turn the water or gas off?”; “Is anyone in danger right now?”; “What’s the address?”,"Tag: URGENT; Timeframe: Immediate / today; Route to: On-call plumber, After-hours service (if applicable)",Immediate SMS: “We’ve logged your emergency plumbing job. A plumber is being dispatched now.”; Escalate to human if unanswered; Flag higher call-out fee
2,Blocked Drains & Toilets,Restore drainage,“Water isn’t draining properly.”,“Toilet’s blocked”; “Sink won’t drain”; “Shower’s backing up”; “Drain’s blocked up”; “Water coming back up the drain”; “Slow draining shower”; “Gurgling noises from the pipes”; “Blocked stormwater”; “Tree roots in the drain”; “Everything’s blocked”; “Toilet’s bubbling”; “Water not going down”; “Drain smells bad”; “Pipes are blocked”; “Need drain cleaning”,“Blocked toilet”; “Sink won’t drain”; “Shower backing up”; “Slow drain”; “Gurgling noises”; “Smells coming from drain”,Blocked toilet; Blocked sink; Blocked shower/bath; Stormwater blockage; Tree roots in drains; Drain jetting; CCTV drain inspection,“Is it completely blocked or draining slowly?”; “Which fixture is affected?”; “Is wastewater backing up anywhere?”,If overflowing → Emergency Plumbing; Else: Same-day or next-day booking; Route to drainage-capable plumber,SMS booking confirmation; Optional pre-visit checklist: “Please avoid using the affected drain until we arrive.”
3,Water Leaks & Pressure Issues,,“Something’s leaking or the water doesn’t feel right.”,“Got a leaking pipe”; “Tap won’t stop dripping”; “Water leaking under the house”; “Pressure’s really low”; “No water pressure”; “Pipes banging when taps turn off”; “Water hammer noise”; “Hidden water leak”; “Water bill’s gone up heaps”; “Pipe leaking behind the wall”; “Water leaking outside”; “Dripping tap driving me mad”; “Whole house pressure is bad”; “Leak somewhere can’t find it”; “Need leak detection”,“Leaking pipe”; “Dripping tap”; “Low water pressure”; “Noisy pipes”; “Water hammer”; “Water bill’s gone up”,Leaking taps; Hidden leaks; Pipe repairs; Pipe replacement / rerouting; Low water pressure; Noisy pipes / water hammer; Leak detection,“Can you see the leak or is it hidden?”; “Is the leak constant or occasional?”; “Is the issue affecting the whole house or one area?”,Visible + active leak → Priority; Minor / intermittent → Scheduled booking; Route to general plumber or leak specialist,"Offer temporary advice: “If safe to do so, isolating the water may help until we arrive.”; SMS with appointment window"
4,Hot Water System Issues,,“We don’t have hot water.”,“No hot water”; “Hot water’s not working”; “Hot water system’s broken”; “Water goes cold straight away”; “Hot water leaking”; “Gas hot water not heating”; “Electric hot water not working”; “Hot water system making noise”; “System needs replacing”; “Hot water keeps cutting out”; “No hot water this morning”; “Hot water stopped overnight”; “Hot water barely warm”; “Tank leaking water”,“No hot water”; “Hot water’s gone cold”; “Hot water leaking”; “Heater not working”; “Water temperature inconsistent”,Hot water system repair; Hot water replacement; Gas hot water systems; Electric hot water systems; Instant / continuous flow systems; Heat pump systems; Solar hot water,"“Is it gas, electric, or instant hot water?”; “Is there no hot water at all or just not enough?”; “How old is the system (roughly)?”",No hot water → Same-day priority; Old system → Flag possible replacement; Route to hot-water-qualified plumber,SMS: “We’ll prioritise restoring your hot water as quickly as possible.”; Prep installer with system type
5,"Toilet, Bathroom & Fixture Repairs",,“Something in the bathroom isn’t working properly.”,“Toilet keeps running”; “Toilet won’t flush properly”; “Leaking toilet”; “Shower leaking”; “Tap dripping”; “Mixer tap broken”; “Need new toilet installed”; “Bathroom tap leaking”; “Toilet cistern problem”; “Water leaking from the base of toilet”; “Need bidet installed”; “Bathroom plumbing issue”; “Tap won’t turn off”; “Shower dripping constantly”; “Need toilet replaced”,“Toilet keeps running”; “Toilet won’t flush”; “Leaking toilet”; “Shower leaking”; “Tap dripping”; “Mixer’s broken”,Toilet repair / replacement; Running toilet; Leaking toilet; Shower leaks; Tap repairs; Mixer tap replacement; Vanity installation; Bidet installation,“Is the toilet usable right now?”; “Is it leaking continuously or just occasionally?”; “Is this a repair or a replacement?”,Unusable toilet → Priority booking; Minor leak / tap → Scheduled; Route to general plumber,Offer fixed-price option (if enabled); SMS booking confirmation
6,Kitchen & Laundry Plumbing,,“Something in the kitchen or laundry isn’t connected or working.”,“Kitchen sink blocked”; “Dishwasher leaking”; “Dishwasher install”; “Washing machine leaking”; “Need washing machine connected”; “Fridge water line install”; “Kitchen tap replacement”; “Sink leaking underneath”; “Laundry tap leaking”; “Dishwasher won’t drain”; “Water leaking behind dishwasher”; “Need plumber for kitchen”; “Appliance plumbing issue”; “Laundry plumbing problem”; “New appliance install”,“Kitchen sink blocked”; “Dishwasher leaking”; “Washing machine connection”; “Fridge water line”; “Tap replacement”,Kitchen sink blockage; Kitchen tap repair/replacement; Dishwasher installation / leak; Washing machine connection; Fridge water connection; Filtered water systems,“Is this a new install or a repair?”; “Is there any leaking right now?”; “Is the appliance already on site?”,Active leak → Priority; Install-only → Scheduled; Route to general plumber,"SMS with prep checklist (appliance accessible, power/water off)"
7,Renovation & New Plumbing Work,,“I’m planning work and need a plumber.”,“Bathroom renovation plumbing”; “Kitchen reno coming up”; “Need plumber for a renovation”; “Rough-in plumbing needed”; “Fit-off plumbing”; “New build plumbing”; “Plumbing for extension”; “Renovation project quote”; “Unit renovation plumbing”; “Plumbing plans ready”; “Need plumbing quote for reno”; “Building a new bathroom”; “House renovation plumbing”; “Need compliance certificate”; “Plumber for build”,“Bathroom reno”; “Kitchen renovation”; “New build”; “Rough-in plumbing”; “Fit-off”,Bathroom renovation plumbing; Kitchen renovation plumbing; Rough-in plumbing; Fit-off plumbing; New home plumbing; Unit/apartment plumbing; Compliance certificates,“Is this residential or commercial?”; “What stage is the project at?”; “When do you need the work done?”,Quote required; Book site visit; Route to projects / quoting team,Email/SMS requesting plans or photos; Flag longer job duration
8,Gas Plumbing & Gas Fitting,,“Gas appliance or gas safety issue.”,“Gas cooktop install”; “Gas hot water system”; “Smell of gas”; “Gas heater installation”; “Gas leak suspected”; “Need gas fitter”; “Gas line repair”; “Gas appliance install”; “Gas hot water not working”; “Gas supply issue”; “Gas plumbing job”; “Gas system upgrade”; “Gas meter issue”; “Gas safety check”; “Need licensed gas plumber”,“Gas cooktop install”; “Gas heater”; “Smell of gas”; “Gas hot water”; “Gas line issue”,Gas appliance installation; Gas cooktop / heater installation; Gas hot water systems; Gas leak detection; Gas line repairs,“Do you currently smell gas?”; “Is this an install or a repair?”; “Is the gas supply turned off?”,Gas smell → Emergency; Install → Scheduled; Route to licensed gas fitter only,"Safety SMS if emergency: “If safe, turn off gas at the meter and ventilate the area.”"
9,"Stormwater, Roof & Outdoor Plumbing",,“Water outside or from the roof isn’t draining properly.”,“Gutters overflowing”; “Roof leaking”; “Stormwater blocked”; “Downpipe blocked”; “Water pooling outside”; “Rainwater tank install”; “Overflowing gutters”; “Roof plumbing issue”; “Stormwater drainage problem”; “Water running down walls”; “Blocked outdoor drain”; “Flooding in yard”; “Water not draining outside”; “Roof leak during rain”; “Need roof plumber”,“Gutters overflowing”; “Roof leak”; “Stormwater blocked”; “Downpipe issue”; “Rainwater tank”,Stormwater drainage; Roof plumbing; Gutter repair / replacement; Downpipes; Rainwater tank installation; Overflow issues,“Is water entering the building?”; “Is this happening during rain?”; “Is access safe right now?”,Internal water entry → Priority; External-only → Scheduled; Route to roof plumber,Weather-aware scheduling; SMS confirmation
10,Commercial & Strata Plumbing,,“This is for a building or business.”,“Strata plumbing job”; “Commercial plumbing”; “Building manager calling”; “Plumbing for apartment block”; “Backflow testing”; “Fire services plumbing”; “TMV servicing”; “Trade waste plumbing”; “Plumbing maintenance contract”; “Office building plumbing”; “Body corporate plumbing”; “Commercial site issue”; “Plumber for strata”; “Ongoing plumbing maintenance”; “Compliance plumbing work,“Strata plumbing”; “Building manager”; “Commercial site”; “Backflow testing”; “Fire services”,Strata plumbing maintenance; Commercial plumbing; Backflow prevention; Fire services plumbing; TMV servicing; Trade waste systems,“Is this a strata or commercial site?”; “Is this maintenance or urgent?”; “Who is the site contact?”,Route to commercial team; Flag access & compliance needs,Email/SMS with job reference; Attach compliance documentation
11,"Maintenance, Inspections & Preventative Work",,“I want things checked or serviced.”,“Plumbing inspection”; “Annual plumbing service”; “Preventative maintenance”; “General plumbing check”; “Leak detection inspection”; “Water efficiency check”; “Compliance inspection”; “Routine plumbing service”; “Want pipes checked”; “Maintenance plumbing”; “Check for leaks”; “Plumbing health check”; “Service hot water system”; “Inspection only”,“Inspection”; “Annual service”; “Preventative maintenance”; “Leak detection”; “Compliance check”,Plumbing inspections; Leak detection; Preventative maintenance; Annual servicing; Compliance checks,“Is this for peace of mind or a known issue?”; “Is there a deadline?”,Non-urgent; Scheduled booking; Route to maintenance team,Offer bundled services; Reminder SMS before visit
12,Sustainable & Smart Plumbing,,“I want to upgrade or future-proof.”,“Heat pump hot water”; “Water-saving system”; “Greywater system install”; “Rainwater harvesting”; “Smart leak detection”; “Eco plumbing upgrade”; “Reduce water usage”; “Sustainable plumbing”; “Energy-efficient hot water”; “Water efficiency upgrade”; “Smart water monitoring”; “Green plumbing solution”; “Environment-friendly plumbing”; “Upgrade plumbing system”; “Future-proof plumbing”,,,,,